47475  42.219971 fe80::557b:8a53:773:86a4 → ff02::1:ff4e:501d ICMPv6 86 Neighbor Solicitation for fe80::f585:875a:594e:501d from 74:27:ea:ba:e0:f0
47476  42.220358 fe80::f585:875a:594e:501d → ff02::1:ff73:86a4 ICMPv6 86 Neighbor Solicitation for fe80::557b:8a53:773:86a4 from 1c:6f:65:3f:be:20
47480  42.274996 fe80::557b:8a53:773:86a4 → ff02::1:ffdd:20bd ICMPv6 86 Neighbor Solicitation for fe80::c990:30a8:edd:20bd from 74:27:ea:ba:e0:f0
47482  42.293182 fe80::d4a3:86f2:db0c:f997 → ff02::1:2    DHCPv6 146 Solicit XID: 0xfc6c33 CID: 00010001183bada114dae9e0ba40 
47527  42.376880 fe80::557b:8a53:773:86a4 → ff02::1:ff4e:501d ICMPv6 86 Neighbor Solicitation for fe80::f585:875a:594e:501d from 74:27:ea:ba:e0:f0
47532  42.471792 fe80::557b:8a53:773:86a4 → ff02::1:ff24:d055 ICMPv6 86 Neighbor Solicitation for fe80::cc91:dc08:9f24:d055 from 74:27:ea:ba:e0:f0
47576  42.522486 fe80::557b:8a53:773:86a4 → ff02::1:ff85:983a ICMPv6 86 Neighbor Solicitation for fe80::a5b0:7f7:6d85:983a from 74:27:ea:ba:e0:f0
47580  42.589187 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
47581  42.590163 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
47798  43.351589 fe80::6184:e416:3414:1d3 → ff02::1:2    DHCPv6 156 Solicit XID: 0xcbe607 CID: 000100011c21a137000ffe9edc4d 
48481  45.092145 fe80::c990:30a8:edd:20bd → ff02::1:2    DHCPv6 148 Solicit XID: 0x4ad93a CID: 000100011aad4d3240167e3be684 
48489  45.212924 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
48490  45.213908 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
48772  46.687487 fe80::3474:2d40:c9d0:a58 → ff02::1:2    DHCPv6 153 Solicit XID: 0xa6aff3 CID: 00010001183ba2415404a660e802 
48937  47.366837 fe80::6184:e416:3414:1d3 → ff02::1:2    DHCPv6 156 Solicit XID: 0xcbe607 CID: 000100011c21a137000ffe9edc4d 
48981  47.619912 fe80::d4a3:86f2:db0c:f997 → ff02::1:ffdd:20bd ICMPv6 86 Neighbor Solicitation for fe80::c990:30a8:edd:20bd from 14:da:e9:6e:4c:8f
50126  48.213103 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
50136  48.214024 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
50576  48.896613 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
52604  52.226854 fe80::89cc:2815:65e:c12a → ff02::1:3    LLMNR 84 Standard query 0x1120 A wpad
52609  52.329511 fe80::89cc:2815:65e:c12a → ff02::1:3    LLMNR 84 Standard query 0x1120 A wpad
52813  53.033755 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0xf1aa A wpad
52897  53.093131 fe80::c990:30a8:edd:20bd → ff02::1:2    DHCPv6 148 Solicit XID: 0x4ad93a CID: 000100011aad4d3240167e3be684 
52900  53.133404 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0xf1aa A wpad
53564  53.935315 fe80::7834:382c:d690:71ed → ff02::1:3    LLMNR 84 Standard query 0x4f6b A wpad
